GOOG,date,closing,avg
GOOG,Mon Dec 07 00:00:00 CET 2015,763.25,725.8815682771085
GOOG,Fri Dec 04 00:00:00 CET 2015,766.809998,726.3688114880953
GOOG,Thu Dec 03 00:00:00 CET 2015,752.539978,726.6767075647059
GOOG,Wed Dec 02 00:00:00 CET 2015,762.380005,727.0918621860466
GOOG,Tue Dec 01 00:00:00 CET 2015,767.039978,727.5510359310344
GOOG,Mon Nov 30 00:00:00 CET 2015,742.599976,727.7220466136364
GOOG,Fri Nov 27 00:00:00 CET 2015,750.26001,727.9752821573034
GOOG,Wed Nov 25 00:00:00 CET 2015,748.150024,728.1994459555556
GOOG,Tue Nov 24 00:00:00 CET 2015,748.280029,728.4201117032967
GOOG,Mon Nov 23 00:00:00 CET 2015,755.97998,728.7196754891305
GOOG,Fri Nov 20 00:00:00 CET 2015,756.599976,729.0194636666666
GOOG,Thu Nov 19 00:00:00 CET 2015,738.409973,729.1193627021277
GOOG,Wed Nov 18 00:00:00 CET 2015,740.0,729.2338957263158
GOOG,Tue Nov 17 00:00:00 CET 2015,725.299988,729.1929175208334
GOOG,Mon Nov 16 00:00:00 CET 2015,728.960022,729.1905165360824
GOOG,Fri Nov 13 00:00:00 CET 2015,717.0,729.0661235102041
GOOG,Thu Nov 12 00:00:00 CET 2015,731.22998,729.0879806464648
GOOG,Wed Nov 11 00:00:00 CET 2015,735.400024,729.1511010800001
GOOG,Tue Nov 10 00:00:00 CET 2015,728.320007,729.1428724257427
GOOG,Mon Nov 09 00:00:00 CET 2015,724.890015,729.1011777450981
GOOG,Fri Nov 06 00:00:00 CET 2015,733.76001,729.1464091262136
GOOG,Thu Nov 05 00:00:00 CET 2015,731.25,729.1666359615385
GOOG,Wed Nov 04 00:00:00 CET 2015,728.109985,729.1565726190477
GOOG,Tue Nov 03 00:00:00 CET 2015,722.159973,729.0905669622642
GOOG,Mon Nov 02 00:00:00 CET 2015,721.109985,729.0159820841122
GOOG,Fri Oct 30 00:00:00 CET 2015,710.809998,728.8474081574075
GOOG,Thu Oct 29 00:00:00 CET 2015,716.919983,728.7379822385321
GOOG,Wed Oct 28 00:00:00 CET 2015,712.950012,728.5944552363637
GOOG,Tue Oct 27 00:00:00 CET 2015,708.48999,728.4133339279281
GOOG,Mon Oct 26 00:00:00 CET 2015,712.780029,728.2737508482144
GOOG,Fri Oct 23 00:00:00 CEST 2015,702.0,728.0412397787612
GOOG,Thu Oct 22 00:00:00 CEST 2015,651.789978,727.3723690614037
GOOG,Wed Oct 21 00:00:00 CEST 2015,642.609985,726.635304852174
GOOG,Tue Oct 20 00:00:00 CEST 2015,650.280029,725.9770697155174
