Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,17.709999,17.719999,17.059999,17.309999,17254700,17.309999
2016-04-15,17.52,17.91,17.309999,17.58,16324700,17.58
2016-04-14,17.379999,17.700001,17.139999,17.530001,16140400,17.530001
2016-04-13,16.68,17.40,16.68,17.370001,22617700,17.370001
2016-04-12,16.50,16.77,16.15,16.57,14862700,16.57
2016-04-11,16.74,16.98,16.41,16.51,14154200,16.51
2016-04-08,17.120001,17.25,16.41,16.65,18636500,16.65
2016-04-07,16.879999,17.59,16.85,16.98,23273700,16.98
2016-04-06,17.120001,17.48,16.90,17.26,23100700,17.26
2016-04-05,17.59,17.83,16.889999,17.049999,41507900,17.049999
2016-04-04,16.00,17.540001,15.96,17.09,38201600,17.09
2016-04-01,16.41,16.43,15.83,15.98,20921700,15.98
2016-03-31,16.40,16.84,16.209999,16.549999,18849100,16.549999
2016-03-30,16.16,16.719999,16.01,16.360001,19294600,16.360001
2016-03-29,15.69,15.99,15.33,15.97,16923700,15.97
2016-03-28,15.98,16.01,15.40,15.60,14080300,15.60
2016-03-24,15.94,15.99,15.57,15.91,14815800,15.91
2016-03-23,16.860001,16.91,16.01,16.01,17914400,16.01
2016-03-22,16.75,17.01,16.700001,16.860001,9539500,16.860001
2016-03-21,16.83,17.049999,16.68,16.889999,12528900,16.889999
2016-03-18,17.08,17.379999,16.76,16.85,21075700,16.85
2016-03-17,16.65,17.15,16.620001,16.85,17033600,16.85
2016-03-16,16.33,16.77,16.129999,16.700001,24662300,16.700001
2016-03-15,17.00,17.040001,16.139999,16.190001,19599200,16.190001
2016-03-14,16.809999,17.32,16.790001,17.120001,16475700,17.120001
2016-03-11,16.77,16.940001,16.459999,16.809999,21442200,16.809999
2016-03-10,17.690001,17.77,16.379999,16.610001,33135200,16.610001
2016-03-09,18.610001,18.74,17.52,17.66,21502300,17.66
2016-03-08,19.10,19.15,18.33,18.33,16345700,18.33
2016-03-07,19.110001,19.73,18.77,19.17,19693500,19.17
2016-03-04,19.450001,20.32,19.059999,19.360001,30046400,19.360001
2016-03-03,18.530001,19.440001,18.48,19.309999,23200100,19.309999
2016-03-02,17.85,18.74,17.719999,18.540001,17177200,18.540001
2016-03-01,18.469999,18.48,17.59,17.85,19299200,17.85
2016-02-29,17.959999,18.57,17.780001,18.120001,17329000,18.120001
2016-02-26,17.719999,18.030001,17.50,17.940001,16314100,17.940001
2016-02-25,17.93,17.950001,17.309999,17.59,22336600,17.59
2016-02-24,18.00,18.09,17.110001,18.00,26629600,18.00
2016-02-23,18.559999,18.959999,18.10,18.299999,25683700,18.299999
2016-02-22,18.620001,18.68,17.76,18.299999,24926900,18.299999
2016-02-19,18.16,18.879999,17.77,18.309999,23914800,18.309999
2016-02-18,18.10,18.549999,17.52,18.43,34447200,18.43
2016-02-17,16.469999,17.60,16.43,17.459999,25659200,17.459999
2016-02-16,16.09,16.40,15.67,16.360001,17193400,16.360001
2016-02-12,14.54,15.94,14.53,15.88,35538100,15.88
2016-02-11,14.07,14.79,13.91,14.31,38371000,14.31
2016-02-10,14.55,15.28,14.52,14.98,30722500,14.98
2016-02-09,14.62,15.55,14.31,14.40,26408800,14.40
2016-02-08,15.51,15.55,14.73,14.90,24818000,14.90
2016-02-05,16.610001,16.639999,15.62,15.72,23996300,15.72
2016-02-04,16.40,17.18,16.290001,16.91,18125800,16.91
2016-02-03,16.33,16.74,15.55,16.559999,24244900,16.559999
