AAPL,date,closing,avg
GOOG,Thu Feb 04 00:00:00 CET 2016,708.01001,715.2007141190477
AAPL,Thu Feb 04 00:00:00 CET 2016,708.01001,715.2007141190477
GOOG,Wed Feb 03 00:00:00 CET 2016,726.950012,715.4739536046513
AAPL,Wed Feb 03 00:00:00 CET 2016,726.950012,715.4739536046513
GOOG,Tue Feb 02 00:00:00 CET 2016,764.650024,716.5915915681819
AAPL,Tue Feb 02 00:00:00 CET 2016,764.650024,716.5915915681819
GOOG,Mon Feb 01 00:00:00 CET 2016,752.0,717.378445088889
AAPL,Mon Feb 01 00:00:00 CET 2016,752.0,717.378445088889
GOOG,Fri Jan 29 00:00:00 CET 2016,742.950012,717.9343487173913
AAPL,Fri Jan 29 00:00:00 CET 2016,742.950012,717.9343487173913
GOOG,Thu Jan 28 00:00:00 CET 2016,730.960022,718.2114907021277
AAPL,Thu Jan 28 00:00:00 CET 2016,730.960022,718.2114907021277
GOOG,Wed Jan 27 00:00:00 CET 2016,699.98999,717.8318761041668
AAPL,Wed Jan 27 00:00:00 CET 2016,699.98999,717.8318761041668
GOOG,Tue Jan 26 00:00:00 CET 2016,713.039978,717.7340822653063
AAPL,Tue Jan 26 00:00:00 CET 2016,713.039978,717.7340822653063
GOOG,Mon Jan 25 00:00:00 CET 2016,711.669983,717.6128002800001
AAPL,Mon Jan 25 00:00:00 CET 2016,711.669983,717.6128002800001
GOOG,Fri Jan 22 00:00:00 CET 2016,725.25,717.7625492941178
AAPL,Fri Jan 22 00:00:00 CET 2016,725.25,717.7625492941178
GOOG,Thu Jan 21 00:00:00 CET 2016,706.590027,717.5476930961539
AAPL,Thu Jan 21 00:00:00 CET 2016,706.590027,717.5476930961539
GOOG,Wed Jan 20 00:00:00 CET 2016,698.450012,717.1873594905661
AAPL,Wed Jan 20 00:00:00 CET 2016,698.450012,717.1873594905661
GOOG,Tue Jan 19 00:00:00 CET 2016,701.789978,716.9022227962964
AAPL,Tue Jan 19 00:00:00 CET 2016,701.789978,716.9022227962964
GOOG,Fri Jan 15 00:00:00 CET 2016,694.450012,716.4940007818183
AAPL,Fri Jan 15 00:00:00 CET 2016,694.450012,716.4940007818183
GOOG,Thu Jan 14 00:00:00 CET 2016,714.719971,716.4623216785715
AAPL,Thu Jan 14 00:00:00 CET 2016,714.719971,716.4623216785715
GOOG,Wed Jan 13 00:00:00 CET 2016,700.559998,716.1833335438597
AAPL,Wed Jan 13 00:00:00 CET 2016,700.559998,716.1833335438597
GOOG,Tue Jan 12 00:00:00 CET 2016,726.070007,716.3537934310345
AAPL,Tue Jan 12 00:00:00 CET 2016,726.070007,716.3537934310345
GOOG,Mon Jan 11 00:00:00 CET 2016,716.030029,716.3483058983052
AAPL,Mon Jan 11 00:00:00 CET 2016,716.030029,716.3483058983052
GOOG,Fri Jan 08 00:00:00 CET 2016,714.469971,716.3170003166667
AAPL,Fri Jan 08 00:00:00 CET 2016,714.469971,716.3170003166667
